0.10, [128.0, 128.0], [0.0, 0.0], [0, 0], error:[0.0, 0.0]
0.20, [128.0, 128.0], [0.0, 0.0], [0, 0], error:[0.0, 0.0]
0.30, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
0.40, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
0.50, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
0.60, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
0.70, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
0.80, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
0.90, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
1.00, [128.0, 128.0], [0.0, 0.0], [0.0, 0.0], error:[0.0, 0.0]
1.10, [42.77272583509938, 62.953838586593704], [2.0022371364653244, 1.5100671140939599], [0.0, 0.0], error:[0.20022371364653246, 0.151006711409396]
1.20, [33.81767844640231, 57.03901102114568], [2.0022371364653244, 1.5100671140939599], [0.0, 0.0], error:[0.40044742729306493, 0.302013422818792]
1.30, [26.540473301923555, 51.71518392831322], [2.0022371364653244, 1.5100671140939599], [0.0, 0.0], error:[0.6006711409395974, 0.453020134228188]
1.40, [19.318999064833804, 46.12004277335794], [2.0022371364653244, 1.5100671140939599], [0.0, 0.0], error:[0.8008948545861299, 0.604026845637584]
1.50, [11.739297801168505, 39.79913574107536], [2.0022371364653244, 1.5100671140939599], [0.1111111111111111, 0.1111111111111111], error:[0.9900074571215511, 0.7439224459358689]
1.60, [6.934675557651801, 39.894451300099405], [2.0022371364653244, 1.5100671140939599], [1.111111111111111, 1.527777777777778], error:[1.0791200596569726, 0.7421513795674871]
1.70, [10.315912285142531, 44.70964399938981], [2.0022371364653244, 1.5100671140939599], [2.638888888888889, 2.5277777777777777], error:[1.015454884414616, 0.6403803131991053]
1.80, [13.602285479223355, 48.61446635641032], [2.0022371364653244, 1.5100671140939599], [2.638888888888889, 2.5277777777777777], error:[0.9517897091722596, 0.5386092468307235]
1.90, [19.07723938778446, 53.1998558138136], [2.0022371364653244, 1.5100671140939599], [3.444444444444444, 2.7777777777777777], error:[0.8075689783743476, 0.4118381804623418]
2.00, [25.387122026419718, 58.02273644521952], [2.0022371364653244, 1.5100671140939599], [3.75, 2.8888888888888884], error:[0.6327926920208801, 0.27395600298284895]
2.10, [32.32995730895745, 63.593942011471455], [2.0022371364653244, 1.5100671140939599], [3.9166666666666665, 2.9166666666666665], error:[0.4413497390007458, 0.13329604772557826]
2.20, [39.6690334281747, 68.20769073560147], [2.0022371364653244, 1.5100671140939599], [3.861111111111111, 2.7777777777777777], error:[0.2554623415361671, 0.00652498135719648]
2.30, [47.12785608850544, 73.21562315793813], [2.0022371364653244, 1.5100671140939599], [3.666666666666666, 2.4722222222222223], error:[0.08901938851603292, -0.08969052945562977]
2.40, [52.45493194791152, 76.47379860698335], [2.0022371364653244, 1.5100671140939599], [3.472222222222222, 2.3611111111111107], error:[-0.05797912005965683, -0.17479492915734485]
2.50, [57.438220172422376, 78.90871771216415], [2.0022371364653244, 1.5100671140939599], [3.388888888888889, 2.1666666666666665], error:[-0.19664429530201327, -0.24045488441461552]
2.60, [61.26001297358542, 80.7325195595796], [2.0022371364653244, 1.5100671140939599], [2.9999999999999996, 2.0277777777777777], error:[-0.2964205816554808, -0.2922259507829973]
2.70, [63.94456964642934, 81.87132849131109], [2.0022371364653244, 1.5100671140939599], [2.722222222222222, 1.833333333333333], error:[-0.36841909023117053, -0.3245525727069346]
2.80, [66.4555160650026, 83.01088140891565], [2.0022371364653244, 1.5100671140939599], [2.722222222222222, 1.833333333333333], error:[-0.44041759880686027, -0.3568791946308719]
2.90, [68.60667426322817, 83.91815418440402], [2.0022371364653244, 1.5100671140939599], [2.5555555555555554, 1.7499999999999998], error:[-0.49574944071588334, -0.38087248322147593]
3.00, [70.73035260166867, 84.40527577559475], [2.0022371364653244, 1.5100671140939599], [2.388888888888889, 1.6388888888888888], error:[-0.5344146159582398, -0.3937546607009688]
3.10, [72.24375500485817, 84.78735957071106], [2.0022371364653244, 1.5100671140939599], [2.2777777777777777, 1.6111111111111112], error:[-0.5619686800894851, -0.40385906040268393]
3.20, [72.99431248898398, 84.64425438545531], [2.0022371364653244, 1.5100671140939599], [2.138888888888889, 1.472222222222222], error:[-0.5756338553318415, -0.40007457121551016]
3.30, [72.82945607023328, 84.39611140412516], [2.0022371364653244, 1.5100671140939599], [1.972222222222222, 1.4444444444444442], error:[-0.5726323639075312, -0.3935123042505586]
3.40, [72.66459965148259, 84.14796842279502], [2.0022371364653244, 1.5100671140939599], [1.972222222222222, 1.4444444444444442], error:[-0.569630872483221, -0.38695003728560706]
3.50, [72.04203628129366, 84.10990103361368], [2.0022371364653244, 1.5100671140939599], [1.8888888888888888, 1.4999999999999998], error:[-0.5582960477255774, -0.38594332587621105]
3.60, [71.41947291110475, 83.86175805228352], [2.0022371364653244, 1.5100671140939599], [1.8888888888888888, 1.4444444444444442], error:[-0.5469612229679338, -0.3793810589112595]
3.70, [70.49177157329034, 83.71865286702779], [2.0022371364653244, 1.5100671140939599], [1.833333333333333, 1.472222222222222], error:[-0.5300708426547347, -0.3755965697240857]
3.80, [69.56407023547591, 83.36547208962322], [2.0022371364653244, 1.5100671140939599], [1.833333333333333, 1.4166666666666665], error:[-0.5131804623415356, -0.3662565249813564]
3.90, [68.78893788147425, 83.32740470044189], [2.0022371364653244, 1.5100671140939599], [1.8611111111111112, 1.4999999999999998], error:[-0.49906785980611423, -0.3652498135719604]
